sentencebefore,word,sentenceafter,stim,ComparisonOfInterest,onset,vowel,coda,MinimalPairBy,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_3.keys,key_resp_3.rt,date,frameRate,expName,session,participant,
We say ,chest, again,We say 'chest' again,onset voicing (affricates),ch,eh,st,onset,0,32,32,30,down,1.75312495232,2020_Oct_09_1214,59.68687297038072,RecordingExp,001,CB,
We say ,boat, again,We say 'boat' again,"onset manner (stops vs. fric, voiced)",b,ow,t,onset,0,33,33,12,down,1.85056686401,2020_Oct_09_1214,59.68687297038072,RecordingExp,001,CB,
We say ,bean, again,We say 'bean' again,coda nasality,b,iy,n,coda,0,34,34,43,down,1.79784917831,2020_Oct_09_1214,59.68687297038072,RecordingExp,001,CB,
We say ,bit, again,We say 'bit' again,coda voicing (stops),b,ih,t,coda,0,35,35,60,down,1.66501998901,2020_Oct_09_1214,59.68687297038072,RecordingExp,001,CB,
We say ,sap, again,We say 'sap' again,"onset manner (stops vs. fric, voiceless); onset voicing (fricatives)",s,ae,p,onset,0,36,36,25,down,1.90217208862,2020_Oct_09_1214,59.68687297038072,RecordingExp,001,CB,
We say ,jug, again,We say 'jug' again,onset voicing (affricates),jh,ah,g,onset,0,37,37,33,down,3.51610088348,2020_Oct_09_1214,59.68687297038072,RecordingExp,001,CB,
We say ,maze, again,We say 'maze' again,coda voicing (fricatives),m,ey,z,coda,0,38,38,66,down,1.78227496147,2020_Oct_09_1214,59.68687297038072,RecordingExp,001,CB,
We say ,vase, again,We say 'vase' again,"onset manner (stops vs. fric, voiced)",v,ey,s,onset,0,39,39,11,down,1.9529838562,2020_Oct_09_1214,59.68687297038072,RecordingExp,001,CB,
We say ,"torment (noun, TORment)", again,"We say 'torment' again (noun, TORment)",stress,disyllabic,disyllabic,disyllabic,stress,0,40,40,88,down,1.99258804321,2020_Oct_09_1214,59.68687297038072,RecordingExp,001,CB,
We say ,"torment (verb, torMENT)", again,"We say 'torment' again (verb, torMENT)",stress,disyllabic,disyllabic,disyllabic,stress,0,41,41,89,down,1.95337796211,2020_Oct_09_1214,59.68687297038072,RecordingExp,001,CB,
We say ,"permit (noun, PERmit)", again,"We say 'permit' again (noun, PERmit)",stress,disyllabic,disyllabic,disyllabic,stress,0,42,42,84,down,1.8828830719,2020_Oct_09_1214,59.68687297038072,RecordingExp,001,CB,
We say ,bead, again,We say 'bead' again,coda nasality,b,iy,d,coda,0,43,43,42,down,1.90256285667,2020_Oct_09_1214,59.68687297038072,RecordingExp,001,CB,
We say ,robe, again,We say 'robe' again,coda nasality,r,ow,b,coda,0,44,44,48,down,2.0980348587,2020_Oct_09_1214,59.68687297038072,RecordingExp,001,CB,
We say ,rich, again,We say 'rich' again,coda voicing (affricates),r,ih,ch,coda,0,45,45,73,down,1.75204086304,2020_Oct_09_1214,59.68687297038072,RecordingExp,001,CB,
We say ,leaf, again,We say 'leaf' again,coda voicing (fricatives),l,iy,f,coda,0,46,46,71,down,1.76766204834,2020_Oct_09_1214,59.68687297038072,RecordingExp,001,CB,
We say ,tongue, again,We say 'tongue' again,coda nasality,t,ah,ng,coda,0,47,47,45,down,1.75291490555,2020_Oct_09_1214,59.68687297038072,RecordingExp,001,CB,
We say ,rim, again,We say 'rim' again,coda nasality,r,ih,m,coda,0,48,48,47,down,1.56725597382,2020_Oct_09_1214,59.68687297038072,RecordingExp,001,CB,
We say ,bet, again,We say 'bet' again,onset voicing (stops),b,eh,t,onset,0,49,49,4,down,1.71382594109,2020_Oct_09_1214,59.68687297038072,RecordingExp,001,CB,
We say ,"survey (verb, surVEY)", again,"We say 'survey' again (verb, surVEY)",stress,disyllabic,disyllabic,disyllabic,stress,0,50,50,87,down,4.21717786789,2020_Oct_09_1214,59.68687297038072,RecordingExp,001,CB,
We say ,bid, again,We say 'bid' again,coda voicing (stops),b,ih,d,coda,0,51,51,59,down,1.61894416809,2020_Oct_09_1214,59.68687297038072,RecordingExp,001,CB,
We say ,mace, again,We say 'mace' again,coda voicing (fricatives),m,ey,s,coda,0,52,52,67,down,1.76505494118,2020_Oct_09_1214,59.68687297038072,RecordingExp,001,CB,
We say ,fuss, again,We say 'fuss' again,coda voicing (fricatives),f,ah,s,coda,0,53,53,65,down,1.73137116432,2020_Oct_09_1214,59.68687297038072,RecordingExp,001,CB,
We say ,etch, again,We say 'etch' again,coda voicing (affricates),#,eh,ch,coda,0,54,54,75,down,1.63758587837,2020_Oct_09_1214,59.68687297038072,RecordingExp,001,CB,
We say ,witch, again,We say 'witch' again,coda manner (fricatives vs affricates),w,ih,ch,coda,0,55,55,81,down,1.68694806099,2020_Oct_09_1214,59.68687297038072,RecordingExp,001,CB,
We say ,pig, again,We say 'pig' again,coda voicing (stops),p,ih,g,coda,0,56,56,62,down,1.8163728714,2020_Oct_09_1214,59.68687297038072,RecordingExp,001,CB,
We say ,batch, again,We say 'batch' again,coda voicing (affricates),b,ae,ch,coda,0,57,57,77,down,1.6483528614,2020_Oct_09_1214,59.68687297038072,RecordingExp,001,CB,
We say ,chug, again,We say 'chug' again,onset voicing (affricates),ch,ah,g,onset,0,58,58,32,down,1.68767499924,2020_Oct_09_1214,59.68687297038072,RecordingExp,001,CB,
We say ,sick, again,We say 'sick' again,"onset manner (stops vs. fric, voiceless)",s,ih,k,onset,0,59,59,23,down,1.65167689323,2020_Oct_09_1214,59.68687297038072,RecordingExp,001,CB,
We say ,"suspect (noun, SUSpect)", again,"We say 'suspect' again (noun, SUSpect)",stress,disyllabic,disyllabic,disyllabic,stress,0,60,60,90,down,1.82429909706,2020_Oct_09_1214,59.68687297038072,RecordingExp,001,CB,
We say ,zap, again,We say 'zap' again,onset voicing (fricatives),z,ae,p,onset,0,61,61,28,down,1.46859097481,2020_Oct_09_1214,59.68687297038072,RecordingExp,001,CB,
We say ,van, again,We say 'van' again,onset voicing (fricatives),v,ae,n,onset,0,62,62,26,down,2.30010104179,2020_Oct_09_1214,59.68687297038072,RecordingExp,001,CB,
We say ,jest, again,We say 'jest' again,onset voicing (affricates),jh,eh,st,onset,0,63,63,31,down,1.64751386642,2020_Oct_09_1214,59.68687297038072,RecordingExp,001,CB,
We say ,tug, again,We say 'tug' again,coda nasality,t,ah,g,coda,0,64,64,44,down,1.78601288795,2020_Oct_09_1214,59.68687297038072,RecordingExp,001,CB,
We say ,mob, again,We say 'mob' again,coda voicing (stops),m,aa,b,coda,0,65,65,52,down,1.58625507355,2020_Oct_09_1214,59.68687297038072,RecordingExp,001,CB,
We say ,deck, again,We say 'deck' again,onset nasality,d,eh,k,onset,0,66,66,2,down,1.88586902618,2020_Oct_09_1214,59.68687297038072,RecordingExp,001,CB,
We say ,fuzz, again,We say 'fuzz' again,coda voicing (fricatives),f,ah,z,coda,0,67,67,64,down,1.93544006348,2020_Oct_09_1214,59.68687297038072,RecordingExp,001,CB,
We say ,badge, again,We say 'badge' again,coda voicing (affricates),b,ae,jh,coda,0,68,68,76,down,1.50216507912,2020_Oct_09_1214,59.68687297038072,RecordingExp,001,CB,
We say ,paid, again,We say 'paid' again,"onset manner (stops vs. fric, voiceless)",p,ey,d,onset,0,69,69,18,down,2.23620700836,2020_Oct_09_1214,59.68687297038072,RecordingExp,001,CB,
We say ,shoe, again,We say 'shoe' again,onset manner (fricatives vs affricates),sh,uw,#,onset,0,70,70,39,down,1.97093296051,2020_Oct_09_1214,59.68687297038072,RecordingExp,001,CB,
