sentencebefore,word,sentenceafter,stim,ComparisonOfInterest,onset,vowel,coda,MinimalPairBy,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_3.keys,key_resp_3.rt,date,frameRate,expName,session,participant,
We say ,fan, again,We say 'fan' again,onset voicing (fricatives),f,ae,n,onset,0,33,33,27,right,2.00153589249,2020_Oct_09_1206,59.77925750250844,RecordingExp,001,CS,
We say ,"torment (noun, TORment)", again,"We say 'torment' again (noun, TORment)",stress,disyllabic,disyllabic,disyllabic,stress,0,34,34,88,right,2.35375905037,2020_Oct_09_1206,59.77925750250844,RecordingExp,001,CS,
We say ,"survey (verb, surVEY)", again,"We say 'survey' again (verb, surVEY)",stress,disyllabic,disyllabic,disyllabic,stress,0,35,35,87,right,2.62019705772,2020_Oct_09_1206,59.77925750250844,RecordingExp,001,CS,
We say ,clock, again,We say 'clock' again,coda voicing (stops),cl,aa,k,coda,0,36,36,55,right,2.55406093597,2020_Oct_09_1206,59.77925750250844,RecordingExp,001,CS,
We say ,tap, again,We say 'tap' again,"onset manner (stops vs. fric, voiceless)",t,ae,p,onset,0,37,37,24,right,1.65137815475,2020_Oct_09_1206,59.77925750250844,RecordingExp,001,CS,
We say ,tug, again,We say 'tug' again,coda nasality,t,ah,g,coda,0,38,38,44,right,2.25280308723,2020_Oct_09_1206,59.77925750250844,RecordingExp,001,CS,
We say ,do, again,We say 'do' again,"onset manner (stops vs. fric, voiced)",d,uw,#,onset,0,39,39,16,right,1.83133387566,2020_Oct_09_1206,59.77925750250844,RecordingExp,001,CS,
We say ,clog, again,We say 'clog' again,coda voicing (stops),cl,aa,g,coda,0,40,40,54,right,2.06847310066,2020_Oct_09_1206,59.77925750250844,RecordingExp,001,CS,
We say ,plot, again,We say 'plot' again,coda voicing (stops),pl,aa,t,coda,0,41,41,51,right,2.25196409225,2020_Oct_09_1206,59.77925750250844,RecordingExp,001,CS,
We say ,"torment (verb, torMENT)", again,"We say 'torment' again (verb, torMENT)",stress,disyllabic,disyllabic,disyllabic,stress,0,42,42,89,right,2.88557696342,2020_Oct_09_1206,59.77925750250844,RecordingExp,001,CS,
We say ,leave, again,We say 'leave' again,coda voicing (fricatives),l,iy,v,coda,0,43,43,70,right,1.83151507378,2020_Oct_09_1206,59.77925750250844,RecordingExp,001,CS,
We say ,"permit (noun, PERmit)", again,"We say 'permit' again (noun, PERmit)",stress,disyllabic,disyllabic,disyllabic,stress,0,44,44,84,right,2.35740113258,2020_Oct_09_1206,59.77925750250844,RecordingExp,001,CS,
We say ,chest, again,We say 'chest' again,onset voicing (affricates),ch,eh,st,onset,0,45,45,30,right,2.03682804108,2020_Oct_09_1206,59.77925750250844,RecordingExp,001,CS,
We say ,chip, again,We say 'chip' again,onset manner (fricatives vs affricates),ch,ih,p,onset,0,46,46,40,right,1.94840097427,2020_Oct_09_1206,59.77925750250844,RecordingExp,001,CS,
We say ,"insult (noun, INsult)", again,"We say 'insult' again (noun, INsult)",stress,disyllabic,disyllabic,disyllabic,stress,0,47,47,92,right,2.08670115471,2020_Oct_09_1206,59.77925750250844,RecordingExp,001,CS,
We say ,etch, again,We say 'etch' again,coda voicing (affricates),#,eh,ch,coda,0,48,48,75,right,2.08428001404,2020_Oct_09_1206,59.77925750250844,RecordingExp,001,CS,
We say ,neck, again,We say 'neck' again,onset nasality,n,eh,k,onset,0,49,49,3,right,2.13231992722,2020_Oct_09_1206,59.77925750250844,RecordingExp,001,CS,
We say ,dip, again,We say 'dip' again,"onset manner (stops vs. fric, voiced)",d,ih,p,onset,0,50,50,14,right,2.17920708656,2020_Oct_09_1206,59.77925750250844,RecordingExp,001,CS,
